word,count,common
wonder,14,True
integrity,14,True
spot,14,True
ministers,14,True
rohingya,14,False
ignoring,14,True
whos,14,False
mohak,14,False
caste,14,False
reflect,14,True
campaign,14,True
narendra,14,False
pmln,14,False
biharis,14,False
position,14,True
sensitive,14,True
effort,14,True
dark,14,True
anywhere,14,True
riots,14,False
myself,14,True
relations,14,True
easily,14,True
pride,14,True
closed,14,True
exports,14,True
pr,14,True
cultural,14,True
battle,14,True
verified,14,True
none,14,True
viewer,14,True
purpose,14,True
cuz,14,True
indigenous,14,True
benefits,14,True
munir,14,False
believes,14,True
disappointing,14,True
forest,14,True
break,14,True
mig,14,False
gives,14,True
black,14,True
tripura,14,False
proudly,14,True
poverty,14,True
celebrating,14,True
hasnt,14,False
works,14,True
rivers,14,True
depth,14,True
straight,14,True
abdul,14,True
crisis,14,True
students,14,True
hind,14,False
manish,14,False
chance,14,True
alleged,14,True
intelligent,14,True
answers,14,True
moodi,14,False
harm,14,True
regardless,14,True
radar,14,True
realise,14,True
neither,14,True
realize,14,True
super,14,True
amazing,14,True
piece,14,True
specific,14,True
published,14,True
gravity,14,True
liars,14,False
properly,14,True
influence,14,True
equal,14,True
anyway,14,True
dictatorship,14,False
।।,14,False
movement,13,True
nagaland,13,False
baba,13,False
path,13,True
ran,13,True
saved,13,True
banning,13,True
b,13,True
moral,13,True
language,13,True
thankyou,13,False
york,13,True
dhruvs,13,False
market,13,True
proven,13,True
conveniently,13,True
sold,13,True
panwar,13,False
arun,13,False
vikram,13,False
lead,13,True
heaven,13,True
throughout,13,True
card,13,True
master,13,True
blindly,13,False
satellite,13,True
advantage,13,True
conclusion,13,True
accounts,13,True
placed,13,True
storage,13,True
goswami,13,False
kulbhushan,13,False
haha,13,True
damages,13,True
bought,13,True
complex,13,True
blochistan,13,False
white,13,True
divide,13,True
stuff,13,True
hence,13,True
posts,13,True
quote,13,True
faces,13,True
rely,13,True
unemployed,13,True
belongs,13,True
standards,13,True
comedy,13,True
pahalgham,13,False
luck,13,True
illiterate,13,False
europe,13,True
knowing,13,True
kumar,13,True
exact,13,True
climate,13,True
hidden,13,True
cost,13,True
armys,13,False
multipurpose,13,False
reaching,13,True
improve,13,True
upon,13,True
internationally,13,True
mob,13,True
ipl,13,False
bs,13,True
influencer,13,False
worse,13,True
gonna,13,True
houses,13,True
looks,13,True
revenue,13,True
original,13,True
leading,13,True
chose,13,True
acting,13,True
fell,13,True
precision,13,True
hindi,13,True
evidences,13,False
excellent,13,True
throwing,13,True
isolated,13,True
uses,13,True
homes,13,True
absolute,13,True
professional,13,True
beautiful,13,True
lower,12,True
garg,12,False
positive,12,True
date,12,True
pandits,12,False
worlds,12,True
singapore,12,True
entirely,12,True
hafiz,12,False
lover,12,True
pay,12,True
attendance,12,True
admitting,12,False
haram,12,False
wheres,12,False
extreme,12,True
dream,12,True
feeling,12,True
largest,12,True
county,12,True
uploaded,12,True
mainstream,12,True
month,12,True
punjabi,12,False
listening,12,True
threats,12,True
aand,12,False
persons,12,True
special,12,True
obviously,12,True
saving,12,True
subramanian,12,False
necessary,12,True
ram,12,True
prayer,12,True
mother,12,True
undo,12,True
officer,12,True
lieutenant,12,True
conference,12,True
ispr,12,False
seem,12,True
followed,12,True
plastic,12,True
concern,12,True
notice,12,True
porkistan,12,False
aggression,12,True
loyal,12,True
researcher,12,True
upcoming,12,True
decide,12,True
indeed,12,True
btw,12,True
refuse,12,True
lier,12,False
plan,12,True
supposed,12,True
capture,12,True
app,12,True
verify,12,True
removed,12,True
neutrality,12,False
fooling,12,False
joint,12,True
discussing,12,True
sargodha,12,False
hates,12,True
yesterday,12,True
uk,12,True
personally,12,True
bringing,12,True
decided,12,True
cheap,12,True
editing,12,True
tells,12,True
min,12,True
hands,12,True
lagged,12,False
winner,12,True
secondly,12,True
newspaper,12,True
lalit,12,False
billion,12,True
add,12,True
separate,12,True
theyre,12,False
enter,12,True
suggest,12,True
accusations,12,False
higher,12,True
vital,12,True
paper,12,True
tourists,12,True
nord,12,True
export,12,True
absurd,12,True
committed,12,True
vlogs,12,False
putting,12,True
rathees,12,False
excuse,12,True
extortion,12,False
space,12,True
sit,12,True
cricket,12,True
fund,12,True
plans,12,True
growing,12,True
sensible,12,True
digest,12,True
company,11,True
cup,11,True
rich,11,True
clip,11,True
currently,11,True
movies,11,True
interested,11,True
amount,11,True
bros,11,True
british,11,True
freely,11,True
theory,11,True
denial,11,True
follower,11,False
yur,11,False
agin,11,False
